timestamp_ms,lba,size_blocks,operation,stream_id
136.6038,15860,3,R,default
137.0903,15863,3,R,default
137.7354,15866,2,R,default
138.366,15868,3,R,default
139.0551,15871,3,R,default
139.5266,15874,3,R,default
139.8422,15877,1,R,default
140.8809,15878,3,R,default
142.4665,15881,2,W,default
144.0446,15883,1,R,default
144.7821,15884,1,R,default
146.3044,15885,2,R,default
146.9957,15887,1,R,default
148.4181,15888,2,R,default
150.2733,15890,1,W,default
151.5387,15908,3,R,default
151.983,15911,1,R,default
152.7722,15912,1,R,default
153.6547,15913,2,R,default
154.0021,15915,2,R,default
155.9155,15917,3,R,default
157.2887,15920,1,R,default
157.5254,15921,1,R,default
157.9313,15922,1,W,default
159.5117,15923,2,R,default
161.0047,15925,3,R,default
161.3993,15928,1,R,default
163.2338,15929,2,R,default
164.4995,15931,3,R,default
166.09,15934,1,R,default
167.7232,15935,3,R,default
168.6943,15938,1,R,default
168.9171,15939,3,R,default
170.8465,15942,2,R,default
171.8304,15944,2,R,default
173.4851,15946,3,R,default
175.1714,15949,2,R,default
176.8668,15951,2,R,default
177.9032,15953,2,R,default
178.7087,15955,2,R,default
179.2905,15957,2,R,default
180.5636,15959,2,R,default
180.9177,15972,3,R,default
181.5503,15975,2,R,default
183.1776,15977,3,R,default
183.8155,15980,1,R,default
184.9712,15981,2,R,default
185.8044,15983,3,R,default
186.2216,15986,2,R,default
188.1332,15988,1,R,default
189.2048,15989,1,R,default
191.1697,15990,3,R,default
191.6927,15993,2,R,default
191.9746,15995,3,R,default
192.4019,15998,2,R,default
192.624,16000,2,R,default
193.1558,16002,2,R,default
193.4735,16004,2,R,default
193.77,16006,3,R,default
194.1233,16009,3,R,default
195.4146,16012,3,R,default
196.2993,16015,1,W,default
198.2814,16016,2,R,default
200.2096,16018,3,R,default
200.8859,16021,1,R,default
201.2211,16022,1,R,default
202.2669,16023,2,R,default
203.7323,16025,2,R,default
204.4085,16027,3,R,default
206.2891,16030,3,R,default
206.7573,16033,3,R,default
207.0858,16036,1,R,default
208.7695,16037,2,W,default
210.2091,16039,2,R,default
211.2979,16041,2,R,default
212.8201,16043,1,R,default
214.7515,16044,1,R,default
214.9889,16045,3,R,default
216.5625,16048,2,R,default
218.4114,16050,3,R,default
220.077,16053,3,W,default
220.877,16056,2,R,default
222.3256,16058,1,R,default
223.5158,16059,2,R,default
223.9244,16061,2,R,default
224.1265,16063,3,R,default
224.6642,16066,2,R,default
226.2321,16068,2,R,default
226.9506,16070,3,R,default
228.9023,16073,2,R,default
229.6616,16075,1,R,default
231.6477,16076,2,W,default
233.0135,16078,2,R,default
234.4833,16080,3,R,default
235.122,16083,2,R,default
236.4009,16085,2,R,default
237.0981,16087,1,R,default
238.716,16088,2,R,default
239.4534,16090,1,R,default
239.9209,16091,3,R,default
241.4941,16094,2,R,default
243.4595,16096,2,R,default
245.0554,16098,2,R,default
246.1068,16100,3,W,default
247.5014,16103,2,R,default
247.768,16105,1,R,default
248.1487,16106,3,R,default
249.1712,16109,1,R,default
251.1171,16110,2,R,default
252.5639,16112,2,R,default
254.3108,16114,2,R,default
256.1082,16116,2,R,default
256.7307,16125,3,R,default
258.2749,16128,2,R,default
259.7419,16130,1,R,default
261.5681,16131,1,R,default
262.4428,16132,1,R,default
263.87,16133,3,R,default
265.6376,16136,1,R,default
266.8872,16137,1,R,default
267.5468,16138,3,R,default
268.9665,16141,2,R,default
270.9443,16143,2,R,default
271.9666,16145,2,R,default
272.3586,16147,2,R,default
274.3454,16149,2,R,default
274.56,16151,3,R,default
276.3991,16154,3,R,default
277.0133,16157,2,R,default
278.3309,16159,1,R,default
279.7565,16160,3,R,default
281.1199,16163,1,R,default
282.6381,16180,2,R,default
283.586,16182,2,R,default
284.4446,16184,3,R,default
286.2899,22567,2,W,default
287.0996,22575,2,R,default
289.0393,22583,1,R,default
289.9546,22591,3,R,default
291.5778,22599,3,R,default
292.4413,22607,3,R,default
294.1216,22615,2,W,default
295.1703,22623,1,R,default
296.4685,22631,3,R,default
298.3054,22639,3,R,default
298.587,22647,2,R,default
299.2096,22655,2,R,default
300.6165,22663,2,R,default
302.1526,22671,3,R,default
303.8532,22679,2,R,default
304.4443,22690,2,R,default
304.8231,22698,1,R,default
306.1838,22706,3,R,default
306.6037,22714,2,R,default
307.1855,22722,2,R,default
307.9858,22730,1,W,default
309.6795,22738,3,R,default
311.445,22746,3,R,default
312.7177,22754,1,R,default
313.8901,22762,1,R,default
314.1365,22770,1,R,default
314.3649,22778,1,R,default
315.5119,22786,1,R,default
316.3635,22794,2,R,default
318.2653,22802,2,R,default
319.2898,22810,3,W,default
321.0149,22818,1,R,default
322.0974,22826,1,W,default
322.8772,22834,1,R,default
324.2167,22842,1,R,default
325.492,22850,2,R,default
325.8705,22858,3,R,default
327.4547,22866,3,R,default
329.2532,22874,1,R,default
330.7665,22882,2,R,default
331.6403,22890,2,R,default
333.3375,22898,2,R,default
334.2082,22906,1,R,default
335.4191,22914,1,R,default
337.1916,22922,1,W,default
338.6895,22930,2,W,default
339.076,22938,3,R,default
339.6796,22946,1,R,default
341.2523,22954,3,R,default
343.2065,22962,2,R,default
344.4086,22970,3,R,default
345.09,22978,3,R,default
346.9488,22986,3,R,default
348.1682,22994,1,R,default
350.1174,23002,1,R,default
351.0731,23010,3,R,default
351.857,23018,2,W,default
352.1517,23026,3,R,default
352.4986,23034,3,R,default
353.4942,23042,2,R,default
354.4681,23050,3,R,default
355.6166,23058,3,R,default
356.8954,23066,1,R,default
358.4766,23074,2,R,default
359.2672,23082,2,R,default
359.6998,23090,3,R,default
361.3998,23098,1,R,default
362.9355,23106,1,R,default
364.6873,23114,2,R,default
366.0395,23122,3,R,default
366.5489,23133,2,W,default
368.4045,23141,2,R,default
369.6644,23149,1,R,default
371.2069,23157,2,R,default
372.5467,23165,1,R,default
373.3756,23173,1,R,default
374.0009,23181,3,R,default
374.476,23189,1,R,default
376.0671,23197,1,R,default
377.0752,23205,3,W,default
379.0509,23213,3,R,default
380.0425,23221,3,R,default
380.7369,23229,3,R,default
381.7681,23237,3,R,default
382.1062,23245,2,R,default
383.2189,23253,1,R,default
384.749,23261,3,R,default
385.5277,23269,3,R,default
386.5386,23277,1,R,default
386.8904,23285,2,R,default
387.8784,23293,1,R,default
388.7334,23301,3,W,default
389.5425,23309,2,R,default
389.8611,23317,3,R,default
390.5147,23325,3,R,default
391.3148,23333,3,R,default
393.1649,23341,1,R,default
394.0705,23349,3,R,default
394.9485,23357,1,R,default
396.6406,23365,1,R,default
397.0088,23373,3,R,default
397.8615,23381,3,R,default
399.4406,23389,1,R,default
400.173,23397,1,R,default
401.8762,23405,3,R,default
403.6537,23413,1,R,default
404.1458,23421,3,R,default
404.6438,23429,3,R,default
406.139,23437,2,W,default
407.6864,23445,3,R,default
409.6244,23453,3,R,default
411.5293,23461,1,W,default
413.1299,23469,2,R,default
414.8003,23477,2,R,default
415.0942,23485,1,R,default
415.4789,23493,2,R,default
417.0525,23501,1,R,default
418.04,23509,3,W,default
419.8323,23517,1,W,default
420.9359,23525,2,R,default
421.1866,23533,1,W,default
422.8111,23541,3,R,default
423.8615,23549,2,R,default
425.1692,23557,3,W,default
426.8721,23565,1,R,default
427.834,23573,3,R,default
428.1199,23581,1,R,default
428.5195,23589,3,W,default
429.6844,23597,3,R,default
430.1428,23605,3,R,default
431.37,23613,3,R,default
433.3244,23621,3,R,default
434.94,23629,3,R,default
435.9862,23637,1,R,default
436.2154,23645,2,R,default
437.5982,23653,2,R,default
438.3968,23661,3,R,default
439.7538,23669,3,R,default
441.2055,23677,3,R,default
442.8026,23685,1,R,default
444.4266,23693,2,R,default
445.5543,23701,2,W,default
445.8202,23709,3,R,default
447.4257,23717,2,R,default
449.0646,23725,2,R,default
450.8749,23733,2,R,default
451.9705,23741,1,W,default
452.3192,23749,3,R,default
453.9994,23757,2,R,default
454.7896,23765,2,R,default
455.7566,23773,2,R,default
457.2649,23781,2,W,default
457.9591,23789,3,W,default
459.3066,23797,1,R,default
461.2216,23805,3,R,default
462.2104,23813,3,R,default
463.0697,23821,1,R,default
464.4921,23831,3,W,default
464.8304,23839,2,R,default
466.1997,23847,2,R,default
466.4463,23855,1,R,default
467.6574,23863,3,R,default
468.2436,23871,2,R,default
469.3277,23879,3,R,default
471.1454,23887,1,R,default
473.087,23895,1,W,default
473.4039,23903,3,R,default
474.8851,23911,2,W,default
475.7358,23919,3,R,default
476.3619,23927,1,R,default
477.226,23935,2,R,default
479.0176,23943,3,R,default
480.5116,23951,2,R,default
480.8443,23959,2,W,default
481.8828,23967,3,R,default
483.4873,23975,1,R,default
483.9196,23983,1,R,default
485.0521,23991,1,R,default
486.5289,23999,1,R,default
488.2516,24007,3,R,default
488.9456,24015,3,R,default
490.0503,24023,3,R,default
491.436,24031,3,R,default
493.2991,24039,3,R,default
495.2064,24047,1,R,default
496.787,24055,2,R,default
497.5084,24068,3,W,default
499.1616,24076,2,R,default
499.4695,24084,2,R,default
500.2818,24092,2,R,default
502.2602,24100,3,R,default
503.1272,24108,2,R,default
503.7623,24116,2,R,default
504.1366,24124,2,R,default
505.0892,24132,2,W,default
506.97,24140,1,R,default
508.0669,24148,1,R,default
509.1621,24156,2,R,default
511.1022,24164,2,R,default
511.8086,24172,2,R,default
512.523,24180,3,R,default
514.3114,24188,1,R,default
515.2324,24196,2,R,default
515.9519,24204,1,R,default
516.6554,24212,2,W,default
517.087,24220,3,R,default
517.8973,24228,2,W,default
519.0138,24236,1,R,default
520.6609,24247,1,R,default
521.7888,24255,1,R,default
522.6961,24263,3,R,default
523.8093,24271,2,R,default
524.5489,24279,2,R,default
524.9462,24287,2,R,default
526.4518,24295,2,R,default
527.1298,24303,1,R,default
528.6283,24311,3,R,default
530.1264,24319,1,R,default
531.5517,24327,2,R,default
531.7858,24335,3,R,default
532.3528,24343,1,R,default
534.1239,24351,3,R,default
535.2575,24359,1,R,default
536.1358,24367,3,W,default
537.9776,24375,2,R,default
539.7394,24383,2,R,default
540.8109,24391,3,W,default
541.4157,24399,2,W,default
542.8845,24407,2,R,default
543.7124,24415,2,W,default
544.1317,24423,3,R,default
545.0419,24431,2,R,default
545.7596,24439,1,R,default
547.1404,24447,2,R,default
548.3098,24455,1,W,default
548.7064,24463,3,R,default
550.1121,24471,1,R,default
550.4925,24479,3,R,default
552.0799,24487,2,R,default
552.5641,24495,3,R,default
553.1232,24503,2,W,default
553.4297,24511,2,R,default
554.5929,24519,3,R,default
555.1081,24527,1,R,default
555.3735,24535,1,R,default
556.9217,24543,2,R,default
557.1384,24551,2,R,default
557.9414,24559,1,R,default
559.0305,24567,3,W,default
559.5775,24575,3,R,default
560.9444,24583,1,R,default
562.5678,24591,1,R,default
564.3089,24599,1,R,default
564.665,24607,2,R,default
565.7244,24615,1,W,default
566.3484,24623,1,R,default
567.5796,95749,3,R,default
568.2049,91802,2,R,default
568.6924,41213,2,R,default
570.1349,41760,3,R,default
571.4413,49174,2,R,default
571.917,63676,1,R,default
572.8655,49971,3,R,default
574.5091,71453,2,R,default
576.0676,90173,1,R,default
577.0718,69879,1,R,default
577.4738,74946,1,R,default
578.7046,27497,3,R,default
579.6999,69202,2,R,default
580.7798,77434,3,R,default
581.796,8292,2,R,default
582.0999,74912,2,R,default
582.3391,95801,2,R,default
582.9313,98754,1,R,default
584.392,46158,2,R,default
586.3671,10046,1,R,default
586.891,54591,2,R,default
588.2536,96589,3,R,default
590.019,59790,2,W,default
591.4479,11518,2,R,default
592.8242,18431,3,R,default
593.7317,71419,1,R,default
595.2929,1455,1,W,default
596.7872,89276,2,R,default
597.4327,31102,2,R,default
599.3201,25704,2,R,default
600.9771,5222,1,R,default
601.5481,32544,1,R,default
602.9577,79352,2,R,default
603.2374,98064,1,R,default
604.7953,29477,3,R,default
606.7835,67046,1,R,default
607.5576,76511,3,R,default
608.184,43030,3,R,default
608.7819,69321,3,R,default
610.6892,73970,1,R,default
612.111,83050,1,R,default
614.0058,46143,1,R,default
615.4592,42777,3,R,default
615.9901,50343,2,R,default
616.7315,30536,1,R,default
617.9438,8552,2,W,default
618.3851,70467,3,R,default
619.7492,44288,1,W,default
620.9133,13119,2,R,default
621.7922,36187,1,R,default
622.3309,10539,1,R,default
623.5369,89008,3,R,default
625.4595,40739,2,R,default
625.8707,98186,1,W,default
627.3228,32797,2,R,default
628.5165,32369,2,R,default
629.6771,62112,2,R,default
630.8002,48139,2,R,default
631.8453,95688,1,R,default
632.6085,49589,1,R,default
633.0712,98157,1,R,default
634.5672,76909,3,R,default
635.1812,44236,1,R,default
636.3724,66444,1,W,default
638.3121,65044,2,R,default
638.8149,61401,2,R,default
640.3115,19344,1,R,default
642.2345,85123,3,R,default
642.5219,88584,1,R,default
643.1384,83667,1,R,default
644.2488,29668,1,R,default
645.6489,84588,3,R,default
646.727,87413,2,R,default
646.9484,54914,3,R,default
648.9078,71220,2,R,default
649.8829,89346,3,W,default
651.7354,15026,1,R,default
653.051,26156,1,R,default
654.6819,36038,2,R,default
655.8989,61161,2,W,default
657.3301,40318,1,R,default
658.8974,86182,3,R,default
660.0922,50436,2,R,default
660.6007,93123,1,R,default
662.2126,85529,2,R,default
664.0671,70226,1,R,default
665.123,75289,3,R,default
666.989,90709,1,R,default
667.2483,87259,3,W,default
669.1789,3052,2,R,default
671.0509,53205,3,R,default
672.2709,32519,3,R,default
673.0681,71852,3,R,default
674.5715,91349,1,R,default
674.9474,8038,2,R,default
676.2367,45642,1,R,default
676.49,43778,2,R,default
677.1007,65304,2,R,default
677.635,57603,2,R,default
679.2249,12232,2,R,default
679.5572,94468,1,R,default
681.1682,94280,2,R,default
682.0175,42507,2,R,default
682.8653,59292,2,R,default
683.4026,12442,1,R,default
684.3371,68166,3,R,default
684.7046,73642,2,R,default
684.9268,51493,2,R,default
686.7489,96006,1,W,default
687.8869,75967,1,R,default
688.5709,19198,1,R,default
689.0719,9292,1,R,default
690.6807,64469,2,R,default
692.0058,95489,1,R,default
692.3983,61012,1,R,default
694.1132,44544,2,R,default
694.9157,58700,2,R,default
695.3608,78908,3,R,default
696.423,27326,3,R,default
697.1476,42830,2,R,default
698.7551,76481,2,R,default
699.6122,52502,2,W,default
701.6073,78624,1,R,default
703.5227,4527,3,R,default
704.5119,28479,3,R,default
706.186,10064,3,R,default
707.2848,89208,2,R,default
708.6704,34119,1,R,default
710.6537,59860,1,R,default
711.7656,71040,2,W,default
712.9441,55827,3,R,default
714.756,92964,2,R,default
715.1529,12138,3,R,default
715.6523,47531,3,R,default
717.0718,85545,3,R,default
717.4625,57420,2,R,default
719.0068,67935,1,R,default
719.6046,76397,3,R,default
720.8641,90070,2,R,default
721.9331,4219,2,R,default
723.6295,16213,1,R,default
724.447,41880,2,R,default
725.2739,64298,3,R,default
726.2883,92326,3,R,default
726.6955,94163,1,R,default
728.1143,15334,3,R,default
729.2431,32970,3,R,default
730.2106,74380,2,R,default
730.7426,83543,2,R,default
730.9951,52849,2,R,default
732.2611,59926,1,R,default
732.8315,29153,3,R,default
733.2147,76674,1,R,default
734.0015,48945,1,R,default
735.7542,88910,2,R,default
737.0287,42078,3,R,default
737.855,15972,3,R,default
739.5197,23613,3,R,default
740.782,81541,2,R,default
741.4115,16448,2,R,default
742.531,19528,3,R,default
743.4217,76340,1,R,default
744.8698,71435,3,R,default
745.3702,73733,1,R,default
747.0858,42232,1,R,default
748.1581,2256,2,R,default
749.2679,74607,2,R,default
750.216,65451,3,R,default
750.5648,22922,2,R,default
750.8237,39284,1,R,default
752.429,23047,2,R,default
753.5484,73053,2,R,default
755.2303,72186,2,R,default
756.2248,95238,1,R,default
757.7496,14423,2,R,default
759.5242,40021,1,R,default
761.2762,46688,2,R,default
761.854,32056,1,R,default
763.6039,46957,3,R,default
764.9129,22755,2,R,default
766.1391,8780,1,R,default
766.6422,71617,3,W,default
767.8731,38923,2,W,default
769.5404,90037,3,R,default
771.5269,8770,2,R,default
773.2858,92937,1,R,default
774.9771,43217,3,R,default
776.0581,52472,3,R,default
777.0037,83288,2,R,default
777.9288,13202,3,R,default
778.9473,49374,3,R,default
780.7113,1324,3,R,default
782.054,61089,3,R,default
782.9699,71048,1,W,default
783.6533,65843,1,R,default
784.8935,72737,2,R,default
786.703,46054,2,R,default
788.0301,14051,1,R,default
789.9031,17284,1,R,default
791.8884,1088,2,R,default
793.6763,18290,3,R,default
795.0546,13234,2,R,default
796.8814,88098,2,R,default
797.6313,82999,2,R,default
799.0112,57260,1,R,default
800.0694,28973,1,R,default
801.4934,69084,1,R,default
803.1642,46032,3,W,default
803.6021,91968,2,R,default
805.1175,12708,2,R,default
806.9033,49177,2,R,default
808.8906,85092,1,R,default
809.1058,74831,3,R,default
810.6062,47030,2,R,default
811.9151,54963,1,R,default
813.729,12362,1,R,default
815.243,78276,1,R,default
816.867,42222,2,R,default
817.5137,12042,3,R,default
818.2265,80638,3,W,default
820.003,87298,1,R,default
820.5426,67784,3,R,default
822.1534,8152,3,R,default
823.048,65865,1,R,default
824.1989,10307,3,W,default
824.6365,42480,2,R,default
825.4942,56163,3,R,default
825.7243,10567,2,R,default
825.996,29277,2,R,default
826.7116,67402,2,R,default
828.1749,56518,2,R,default
829.4838,71471,3,R,default
830.6041,11357,2,R,default
831.3923,71305,1,R,default
832.75,90267,3,R,default
834.6661,96677,2,R,default
836.5305,12300,1,R,default
836.8295,80800,3,R,default
837.3457,98079,3,R,default
837.5661,92946,1,R,default
838.6971,69551,2,R,default
839.5665,22884,2,R,default
841.362,97067,2,R,default
843.0148,44910,1,R,default
844.497,35465,1,R,default
845.5163,66031,1,R,default
846.0167,75302,2,R,default
847.4301,76223,1,R,default
847.6348,67692,3,R,default
847.9175,33053,1,R,default
849.7936,24456,1,R,default
851.3268,94588,3,R,default
852.2761,33540,2,R,default
853.5049,11208,2,R,default
854.0277,7903,3,R,default
854.3517,53550,1,R,default
854.3624,12322,2,R,default
854.439,12324,3,R,default
854.4934,12327,2,R,default
854.5526,12329,1,R,default
856.4309,1835,1,R,default
857.7756,46406,3,R,default
857.9782,44911,1,R,default
858.7317,96317,3,R,default
858.7471,56026,1,W,default
858.7611,56027,3,R,default
858.8517,56030,3,R,default
858.8703,56033,3,R,default
860.1357,10808,2,R,default
860.7619,18132,3,R,default
862.2232,52505,2,R,default
862.9127,60343,2,R,default
862.9753,18840,1,R,default
863.0136,18841,1,R,default
863.0423,18842,2,R,default
863.0604,18844,2,R,default
864.5148,93367,2,R,default
864.879,20441,2,R,default
866.0032,52936,2,R,default
866.2592,23789,2,R,default
866.2916,73869,2,R,default
866.3072,73871,1,R,default
866.3913,73872,1,R,default
866.4089,73873,3,R,default
868.4038,3857,1,R,default
870.0605,59121,3,R,default
870.3374,17059,2,R,default
871.3171,76220,1,R,default
871.3427,51165,1,R,default
871.3928,51166,1,R,default
871.4249,51167,3,R,default
871.478,51170,2,R,default
872.4326,18987,2,R,default
873.768,33656,3,R,default
875.3755,51134,1,R,default
876.1947,64527,3,R,default
876.2071,51905,2,R,default
876.2871,51907,1,R,default
876.3661,51908,2,W,default
876.4353,51910,1,R,default
878.0106,8328,3,W,default
878.8492,51911,3,R,default
879.475,24081,1,R,default
880.3208,92439,3,R,default
880.3819,92823,3,R,default
880.4648,92826,1,W,default
880.519,92827,3,R,default
880.5308,92830,1,R,default
881.0934,81495,2,R,default
882.9472,24260,3,R,default
883.1866,8806,2,R,default
884.9103,15538,1,R,default
884.9799,49967,1,R,default
885.0022,49968,2,R,default
885.0986,49970,2,R,default
885.1592,49972,1,R,default
885.7611,47769,3,R,default
886.5133,50595,1,R,default
888.0252,24292,1,W,default
889.7566,52327,3,R,default
889.8495,24865,1,W,default
889.8689,24866,1,R,default
889.9003,24867,2,W,default
889.997,24869,1,R,default
891.5097,84768,3,R,default
892.0871,35761,1,R,default
893.7037,34640,2,R,default
894.6925,51585,1,R,default
894.7366,55266,1,R,default
894.8176,55267,1,R,default
894.8682,55268,3,R,default
894.9069,55271,1,W,default
895.4131,45801,1,R,default
896.5978,10830,3,R,default
897.867,45295,1,R,default
898.1228,93340,2,W,default
898.147,80602,1,R,default
898.1938,80603,1,R,default
898.2633,80604,3,R,default
898.3247,80607,1,R,default
899.1742,8144,1,R,default
900.4994,87772,2,R,default
901.0719,4373,1,R,default
902.7907,63071,1,R,default
902.8602,62727,2,R,default
902.9036,62729,3,R,default
902.9372,62732,1,R,default
902.998,62733,1,R,default
903.3721,88486,3,R,default
905.3194,55262,3,R,default
907.0328,8993,3,R,default
908.4695,71190,2,W,default
908.515,63424,1,R,default
908.6061,63425,1,R,default
908.6293,63426,3,W,default
908.7279,63429,2,W,default
909.0048,17539,1,R,default
909.5682,58067,3,R,default
910.2324,78994,1,W,default
911.131,12406,1,R,default
911.2235,37202,2,R,default
911.2806,37204,3,R,default
911.3416,37207,2,R,default
911.4022,37209,1,R,default
913.1864,71206,2,R,default
914.5651,51206,2,R,default
915.075,5910,2,R,default
916.5005,80777,3,R,default
916.5149,44449,2,R,default
916.5267,44451,2,R,default
916.6126,44453,2,R,default
916.7008,44455,3,R,default
918.294,59079,3,R,default
919.583,55627,3,R,default
921.4272,28707,2,R,default
923.1881,68698,2,R,default
923.262,21836,3,R,default
923.2746,21839,3,R,default
923.307,21842,1,R,default
923.3417,21843,2,R,default
924.6854,53028,3,R,default
925.5559,32711,1,R,default
926.8123,63204,1,R,default
928.3604,34903,1,R,default
928.4472,51667,1,R,default
928.5155,51668,1,R,default
928.5717,51669,2,R,default
928.6637,51671,3,R,default
929.2665,2109,3,R,default
931.2072,94420,2,R,default
932.94,50345,2,R,default
933.6839,62171,1,R,default
933.6945,53055,3,W,default
933.758,53058,2,R,default
933.7737,53060,3,W,default
933.8087,53063,3,R,default
934.3477,40163,3,R,default
935.9975,8441,1,R,default
937.3864,53965,3,R,default
938.7661,4336,3,W,default
938.8425,55862,2,R,default
938.8833,55864,3,R,default
938.964,55867,3,W,default
939.001,55870,3,R,default
939.527,74170,3,R,default
940.1926,98113,1,R,default
942.0119,90091,1,R,default
942.6139,47567,1,R,default
942.6766,44426,2,R,default
942.7645,44428,1,R,default
942.8546,44429,3,R,default
942.8914,44432,3,R,default
944.8777,19004,1,R,default
945.3355,60974,3,R,default
946.4131,11592,1,R,default
947.7552,42079,1,R,default
947.7795,23099,1,R,default
947.8285,23100,1,R,default
947.873,23101,2,R,default
947.9685,23103,1,R,default
948.2007,25979,3,R,default
948.808,33613,3,R,default
949.1929,17899,2,R,default
949.5104,22891,2,R,default
949.5741,60759,2,R,default
949.6149,60761,3,W,default
949.6398,60764,2,W,default
949.67,60766,2,W,default
949.9094,97216,1,R,default
951.3894,49049,1,R,default
952.0498,84928,2,R,default
954.0403,78846,1,R,default
954.0607,3587,3,R,default
954.1134,3590,1,R,default
954.1242,3591,3,R,default
954.1585,3594,1,R,default
955.8537,55896,1,R,default
956.2656,81962,3,R,default
956.8232,66239,1,R,default
958.7748,69569,2,R,default
958.8341,39712,2,W,default
958.8739,39714,3,R,default
958.8938,39717,3,R,default
958.9119,39720,2,R,default
959.2942,95840,3,R,default
961.2738,60867,1,R,default
961.6535,7564,2,R,default
962.5019,39085,1,R,default
962.5801,16191,3,R,default
962.6055,16194,1,R,default
962.6396,16195,2,R,default
962.6661,16197,2,R,default
964.3704,36629,2,R,default
965.7383,56278,2,R,default
967.1914,18368,1,R,default
968.1402,14593,1,R,default
968.2053,89918,3,R,default
968.2769,89921,3,R,default
968.3308,89924,1,R,default
968.3643,89925,2,R,default
969.509,89857,3,R,default
970.1122,75057,3,W,default
971.2538,69039,2,R,default
972.6449,57734,1,R,default
972.6895,87993,2,R,default
972.7547,87995,3,R,default
972.8069,87998,1,R,default
972.8611,87999,1,R,default
973.9736,7599,2,R,default
975.6444,53858,2,R,default
976.651,76108,2,R,default
977.0647,42426,2,R,default
977.1118,3329,3,R,default
977.193,3332,1,W,default
977.2488,3333,3,R,default
977.2894,3336,3,R,default
978.087,60566,1,R,default
979.577,63014,3,R,default
979.9524,15945,2,R,default
980.7916,45742,1,R,default
980.8112,69417,3,R,default
980.8857,69420,2,R,default
980.9133,69422,1,R,default
980.9975,69423,2,R,default
982.5604,15125,2,R,default
983.8203,89098,3,R,default
985.2055,60950,2,W,default
985.4133,66382,1,R,default
985.4668,57729,3,R,default
985.4924,57732,1,R,default
985.5564,57733,1,R,default
985.6041,57734,3,R,default
